name,lat,lon,cluster
Национален археологически музей,42.69647,23.32459,0
Национална галерия (Квадрат 500),42.69633,23.33422,0
Национален етнографски музей,42.69631,23.32707,0
Национален природонаучен музей,42.69578,23.32841,0
Софийска градска художествена галерия,42.69466,23.32431,0
Галерия Средец,42.69692,23.32,0
Галерия Академия,42.69497,23.33396,0
Галерия Райко Алексиев,42.69412,23.32863,0
Галерия Nuance,42.69378,23.32188,0
Галерия Аросита,42.69764,23.33168,0
Галерия Сердика,42.70293,23.31995,-1
Галерия Лик,42.69136,23.31144,1
Галерия КО-ОП,42.70349,23.30077,-1
Галерия Contrast,42.69445,23.31677,0
Галерия Intro,42.69371,23.31676,0
nOva Art Space,42.69607,23.32429,0
Галерия Astry,42.69413,23.31688,0
Галерия Doza,42.69779,23.31809,0
Little Bird Place,42.6981,23.33208,0
Галерия Нирвана,42.69182,23.32225,0
Галерия Минерва,42.69421,23.32451,0
Галерия Etud,42.68191,23.33199,-1
Галерия Credo Bonum,42.69405,23.32733,0
VIVACOM Art Hall,42.6957,23.33618,0
Галерия Алма Матер,42.69413,23.33582,0
Галерия Арте,42.68942,23.31312,1
Галерия Ракурси,42.69137,23.3238,0
Галерия Васка Емануилова,42.69846,23.34166,-1
One Gallery,42.69548,23.3269,0
Галерия Графично,42.69433,23.31697,0
